title,content_type,year,certificate,duration,genre,rating,votes
The Kissing Booth,TV Show,2018,TV-14,105,"Comedy, Romance",5.9,83980
An Inconvenient Truth,Movie,2006,PG,96,"Documentary, News",7.4,83432
The Midnight Sky,Movie,2020,PG-13,118,"Adventure, Drama, Sci-Fi",5.6,83059
Shadow and Bone,TV Show,2021,TV-14,60,"Action, Adventure, Drama",7.6,82657
The Social Dilemma,Movie,2020,PG-13,94,"Documentary, Drama",7.6,82178
12 Strong,Movie,2018,R,130,"Action, Drama, History",6.5,81719
Beasts of No Nation,TV Show,2015,TV-MA,137,"Drama, War",7.7,81447
Fighting with My Family,Movie,2019,PG-13,108,"Biography, Comedy, Drama",7.1,81142
Maid,TV Show,2021,TV-MA,545,Drama,8.4,81102
Footloose,Movie,1984,PG,107,"Drama, Music, Romance",6.6,80905
Broken City,Movie,2013,R,109,"Action, Crime, Drama",6.1,80434
Office Christmas Party,Movie,2016,R,105,Comedy,5.8,80088
Fear Street: Part One - 1994,Movie,2021,R,107,"Drama, Horror, Mystery",6.2,79648
The Human Centipede (First Sequence),Movie,2009,R,92,Horror,4.4,79417
Unorthodox,TV Show,2020,TV-MA,53,Drama,8.0,78975
Jaws 2,Movie,1978,PG,116,"Adventure, Horror, Thriller",5.8,78737
Maniac,TV Show,2018,TV-MA,386,"Comedy, Drama, Sci-Fi",7.7,78151
Paddington 2,Movie,2017,PG,103,"Adventure, Comedy, Family",7.8,77861
Deliver Us from Evil,Movie,2014,R,118,"Action, Adventure, Crime",6.2,77685
